종목코드,종목명,종가,대비,등락률,상장시가총액
"011780","금호석유화학","115800","-200","-0.17","3014476.0"
"011170","롯데케미칼","71100","400","0.57","3041332.0"
"004990","롯데지주","29050","-200","-0.68","3047613.0"
"008930","한미사이언스","38950","-450","-1.14","2663851.0"
"012750","에스원","74600","-400","-0.53","2834739.0"
"042670","HD현대인프라코어","15190","-50","-0.33","2868650.0"
"018880","한온시스템","4355","-10","-0.23","2956011.0"
"017800","현대엘리베이터","75100","-600","-0.79","2935838.0"
"001450","현대해상","27050","-250","-0.92","2418270.0"
"004370","농심","429500","-6500","-1.49","2612495.0"
"010060","OCI홀딩스","128000","13800","12.08","2408309.0"
"014680","한솔케미칼","229500","-3000","-1.29","2601427.0"
"026960","동서","26500","-500","-1.85","2642050.0"
"030000","제일기획","20450","100","0.49","2352593.0"
"088350","한화생명","3005","-25","-0.83","2609933.0"
"111770","영원무역","57100","-700","-1.21","2530185.0"
"361610","SK아이이테크놀로지","31300","600","1.95","2559936.0"
"489790","한화비전","49400","-1000","-1.98","2494126.0"
"000240","한국앤컴퍼니","23300","-250","-1.06","2211991.0"
"006040","동원산업","47900","-550","-1.14","2114689.0"
"009420","한올바이오파마","39300","-2100","-5.07","2053057.0"
"383220","F&F","59600","-1700","-2.77","2283102.0"
"081660","미스토홀딩스","37600","800","2.17","2259604.0"
"139130","iM금융지주","13330","100","0.76","2160189.0"
"192820","코스맥스","201500","-3000","-1.47","2286926.0"
"051600","한전KPS","50400","-300","-0.59","2268000.0"
"000120","CJ대한통운","81000","-1400","-1.70","1847800.0"
"002790","아모레퍼시픽홀딩스","25400","0","0.00","2018238.0"
"008770","호텔신라","48950","250","0.51","1921196.0"
"009970","영원무역홀딩스","139300","-2800","-1.97","1880444.0"
"017960","한국카본","36400","-200","-0.55","1889468.0"
"023530","롯데쇼핑","64350","-750","-1.15","1820381.0"
"457190","이수스페셜티케미컬","57300","1900","3.43","1730934.0"
"069960","현대백화점","80300","-500","-0.62","1817094.0"
"112610","씨에스윈드","45550","1900","4.35","1920907.0"
"139480","이마트","71700","-500","-0.69","1978620.0"
"161890","한국콜마","75700","-1300","-1.69","1786904.0"
"204320","HL만도","38125","-425","-1.10","1790240.0"
"282330","BGF리테일","102500","-1100","-1.06","1771600.0"
"028670","팬오션","3725","-105","-2.74","1991271.0"
"004170","신세계","171800","-1900","-1.09","1657042.0"
"005850","에스엘","35250","-1100","-3.03","1637310.0"
"006280","녹십자","129700","0","0.00","1515744.0"
"006360","GS건설","18350","-340","-1.82","1570420.0"
"375500","DL이앤씨","41900","-800","-1.87","1621263.0"
"007310","오뚜기","386500","-2000","-0.51","1549026.0"
"011210","현대위아","58800","200","0.34","1599071.0"
"047040","대우건설","3570","-180","-4.80","1483773.0"
"069620","대웅제약","142500","3100","2.22","1651087.0"
"007070","GS리테일","17630","-100","-0.56","1473999.0"
"000080","하이트진로","18770","-60","-0.32","1316408.0"
"001800","오리온홀딩스","18870","-140","-0.74","1182119.0"
"003090","대웅","21650","0","0.00","1258774.0"
"004000","롯데정밀화학","45200","-400","-0.88","1166160.0"
"007340","DN오토모티브","22750","-550","-2.36","1331122.0"
"300720","한일시멘트","17410","-240","-1.36","1205843.0"
"071320","지역난방공사","95700","0","0.00","1108086.0"
"073240","금호타이어","4630","-90","-1.91","1330015.0"
"137310","에스디바이오센서","9420","-130","-1.36","1146877.0"
"185750","종근당","83200","400","0.48","1148391.0"
"285130","SK케미칼","65100","1900","3.01","1126150.0"
"012630","HDC","18300","-110","-0.60","1093273.0"
"000210","DL","38650","-300","-0.77","809945.0"
"298050","HS효성첨단소재","185400","200","0.11","830582.0"
"001430","세아베스틸지주","26900","-600","-2.18","964691.0"
"003240","태광산업","795000","-7000","-0.87","885153.0"
"004490","세방전지","64100","-1100","-1.69","897400.0"
"005300","롯데칠성","114500","-800","-0.69","1062432.0"
"006650","대한유화","133100","2000","1.53","865150.0"
"008730","율촌화학","32850","1200","3.79","814680.0"
"009240","한샘","45200","-1300","-2.80","1063734.0"
"014820","동원시스템즈","27900","-100","-0.36","808857.0"
"093370","후성","9190","290","3.26","985676.0"
"114090","GKL","15370","-130","-0.84","950722.0"
"120110","코오롱인더","35300","-300","-0.84","971424.0"
"192080","더블유게임즈","49950","-250","-0.50","1073721.0"
"280360","롯데웰푸드","112800","-1200","-1.05","1049556.0"
"298020","효성티앤씨","205500","-2500","-1.20","889339.0"
"000670","영풍","48400","-600","-1.22","924849.0"
"001680","대상","20525","-325","-1.56","711151.0"
"002710","TCC스틸","18320","-30","-0.16","480235.0"
"002840","미원상사","148600","-2600","-1.72","705850.0"
"003030","세아제강지주","141800","-1600","-1.12","587287.0"
"003620","KG모빌리티","3700","-115","-3.01","748787.0"
"456040","OCI","61400","2300","3.89","549683.0"
"005420","코스모화학","19410","120","0.62","745504.0"
"039130","하나투어","46800","-900","-1.89","724929.0"
"069260","TKG휴켐스","17780","-100","-0.56","726821.0"
"145720","덴티움","57000","0","0.00","630923.0"
"268280","미원에스씨","140100","-400","-0.28","700500.0"
"005250","녹십자홀딩스","15820","60","0.38","743986.0"
